bengali_book_title,bengali_author,english_book_title,english_author,page_url,download_url,scrape_date
Soviet Books Translated in Bengali: পঞ্চাশজন সোভিয়েত কবি - ৫০ জন সোভিয়েত কবির কবিতা সংকলন (অনু: হায়াৎ মামুদ),not found,Soviet Books Translated in Bengali,Storman . Powered by Blogger .,https://sovietbooksinbengali.blogspot.com/2021/02/blog-post.html,https://drive.google.com/drive/folders/0B_YaosR26qWjQk5qR1dxdFk5SUk?resourcekey=0-rI4_dmi12J4rBalzX-xONw,2026-02-08T19:50:48.077189
Soviet Books Translated in Bengali: পঞ্চাশজন সোভিয়েত কবি - ৫০ জন সোভিয়েত কবির কবিতা সংকলন (অনু: হায়াৎ মামুদ),not found,Soviet Books Translated in Bengali,Storman . Powered by Blogger .,https://sovietbooksinbengali.blogspot.com/2021/02/blog-post.html,https://drive.google.com/file/d/1-Vkl1Himjlrrt4h3X41JXtVQY5cAJftD/view?usp=sharing,2026-02-08T19:50:48.077189
Soviet Books Translated in Bengali: পঞ্চাশজন সোভিয়েত কবি - ৫০ জন সোভিয়েত কবির কবিতা সংকলন (অনু: হায়াৎ মামুদ),not found,Soviet Books Translated in Bengali,Storman . Powered by Blogger .,https://sovietbooksinbengali.blogspot.com/2021/02/blog-post.html,http://s1326.photobucket.com/user/pagloosndg/media/2ebc3cda-38a5-4160-a27d-30746b3c43cc_zps0d485436.jpg.html,2026-02-08T19:50:48.077189
Soviet Books Translated in Bengali: পঞ্চাশজন সোভিয়েত কবি - ৫০ জন সোভিয়েত কবির কবিতা সংকলন (অনু: হায়াৎ মামুদ),not found,Soviet Books Translated in Bengali,Storman . Powered by Blogger .,https://sovietbooksinbengali.blogspot.com/2021/02/blog-post.html,http://s1326.photobucket.com/user/pagloosndg/media/474e8323-241d-49ae-be80-74314c33f41a_zps68fd2e89.jpg.html,2026-02-08T19:50:48.077189
Soviet Books Translated in Bengali: পঞ্চাশজন সোভিয়েত কবি - ৫০ জন সোভিয়েত কবির কবিতা সংকলন (অনু: হায়াৎ মামুদ),not found,Soviet Books Translated in Bengali,Storman . Powered by Blogger .,https://sovietbooksinbengali.blogspot.com/2021/02/blog-post.html,http://s1326.photobucket.com/user/pagloosndg/media/2675beaf-735d-441f-8d65-7e8e73392505_zps42c547fa.jpg.html,2026-02-08T19:50:48.077189
Soviet Books Translated in Bengali: পঞ্চাশজন সোভিয়েত কবি - ৫০ জন সোভিয়েত কবির কবিতা সংকলন (অনু: হায়াৎ মামুদ),not found,Soviet Books Translated in Bengali,Storman . Powered by Blogger .,https://sovietbooksinbengali.blogspot.com/2021/02/blog-post.html,http://s1326.photobucket.com/user/pagloosndg/media/e836ef91-9096-4f3d-8d32-2de1eceecf19_zps5387639b.jpg.html,2026-02-08T19:50:48.077189
Soviet Books Translated in Bengali: পঞ্চাশজন সোভিয়েত কবি - ৫০ জন সোভিয়েত কবির কবিতা সংকলন (অনু: হায়াৎ মামুদ),not found,Soviet Books Translated in Bengali,Storman . Powered by Blogger .,https://sovietbooksinbengali.blogspot.com/2021/02/blog-post.html,http://s1326.photobucket.com/user/pagloosndg/media/2ce80a2e-b01a-410a-879a-8f6b6798d4d2_zps5bf07fd5.jpg.html,2026-02-08T19:50:48.077189
Soviet Books Translated in Bengali: নেকড়ে আর ছাগলছানারা - রুশ লৌকিক উপকথা আ. তলস্তই অবলম্বনে (অনু: রেখা চট্টোপাধ্যায়),not found,Soviet Books Translated in Bengali,Storman . Powered by Blogger .,https://sovietbooksinbengali.blogspot.com/2020/11/blog-post_6.html,https://drive.google.com/drive/folders/0B_YaosR26qWjQk5qR1dxdFk5SUk?resourcekey=0-rI4_dmi12J4rBalzX-xONw,2026-02-08T19:50:48.683468
Soviet Books Translated in Bengali: নেকড়ে আর ছাগলছানারা - রুশ লৌকিক উপকথা আ. তলস্তই অবলম্বনে (অনু: রেখা চট্টোপাধ্যায়),not found,Soviet Books Translated in Bengali,Storman . Powered by Blogger .,https://sovietbooksinbengali.blogspot.com/2020/11/blog-post_6.html,https://drive.google.com/file/d/1bso8uHtfR44YHNk7iR-hjQqgXjwv0Xa7/view?usp=sharing,2026-02-08T19:50:48.683468
Soviet Books Translated in Bengali: নেকড়ে আর ছাগলছানারা - রুশ লৌকিক উপকথা আ. তলস্তই অবলম্বনে (অনু: রেখা চট্টোপাধ্যায়),not found,Soviet Books Translated in Bengali,Storman . Powered by Blogger .,https://sovietbooksinbengali.blogspot.com/2020/11/blog-post_6.html,http://s1326.photobucket.com/user/pagloosndg/media/2ebc3cda-38a5-4160-a27d-30746b3c43cc_zps0d485436.jpg.html,2026-02-08T19:50:48.683468
Soviet Books Translated in Bengali: নেকড়ে আর ছাগলছানারা - রুশ লৌকিক উপকথা আ. তলস্তই অবলম্বনে (অনু: রেখা চট্টোপাধ্যায়),not found,Soviet Books Translated in Bengali,Storman . Powered by Blogger .,https://sovietbooksinbengali.blogspot.com/2020/11/blog-post_6.html,http://s1326.photobucket.com/user/pagloosndg/media/474e8323-241d-49ae-be80-74314c33f41a_zps68fd2e89.jpg.html,2026-02-08T19:50:48.683468
